row_id,profile_code,profile_name,belt_current,belt_next,min_time_current_belt_months,min_age_years,requires_instructor_approval,source_document_version,source_document_path,source_page_or_section,notes
1,adult_male,Adulto Masculino,Branca,Azul,0,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 II (p.7); Art. 3.1.3 I-II (p.9)","Faixa Branca nao exige tempo minimo; idade minima para Azul = 16."
2,adult_male,Adulto Masculino,Azul,Roxa,24,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 III (p.7); Art. 3.1.3 II (p.9)","Excecoes oficiais: 12 meses para cadastro anterior Cinza/Amarela/Laranja; 0 meses para Verde, Azul Juvenil ou Campeao Mundial adulto azul."
3,adult_male,Adulto Masculino,Roxa,Marrom,18,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 IV (p.7); Art. 3.1.3 III (p.9)","Excecoes oficiais: 12 meses para Azul Juvenil; 0 meses para Laranja/Verde+Azul Juvenil, Roxa Juvenil ou Campeao Mundial adulto roxa."
4,adult_male,Adulto Masculino,Marrom,Preta,12,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 V (p.7); Art. 3.1.3 IV (p.9)","Excecoes oficiais: 0 meses para Campeao Mundial adulto marrom; preta aos 18 apenas para campeao mundial adulto marrom."
5,adult_female,Adulto Feminino,Branca,Azul,0,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 II (p.7); Art. 3.1.3 I-II (p.9)","Faixa Branca nao exige tempo minimo; idade minima para Azul = 16."
6,adult_female,Adulto Feminino,Azul,Roxa,24,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 III (p.7); Art. 3.1.3 II (p.9)","Excecoes oficiais: 12 meses para cadastro anterior Cinza/Amarela/Laranja; 0 meses para Verde, Azul Juvenil ou Campeao Mundial adulto azul."
7,adult_female,Adulto Feminino,Roxa,Marrom,18,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 IV (p.7); Art. 3.1.3 III (p.9)","Excecoes oficiais: 12 meses para Azul Juvenil; 0 meses para Laranja/Verde+Azul Juvenil, Roxa Juvenil ou Campeao Mundial adulto roxa."
8,adult_female,Adulto Feminino,Marrom,Preta,12,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 V (p.7); Art. 3.1.3 IV (p.9)","Excecoes oficiais: 0 meses para Campeao Mundial adulto marrom; preta aos 18 apenas para campeao mundial adulto marrom."
9,juvenil,Juvenil,Branca,Azul,0,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 II (p.7); Art. 3.1.2 I-II (p.9)","Sem tempo minimo em Branca e Azul no Juvenil."
10,juvenil,Juvenil,Azul,Roxa,0,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 III (p.7); Art. 3.1.2 II-III (p.9)","Faixa Azul Juvenil sem tempo minimo."
11,juvenil,Juvenil,Roxa,Marrom,18,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 IV (p.7); Art. 3.1.2 III e 3.1.3 III (p.9)","Juvenil elegivel a Marrom apenas no Adulto; permanencia em Roxa segue regra da categoria Adulto."
12,juvenil,Juvenil,Marrom,Preta,12,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 V (p.7); Art. 3.1.3 IV (p.9)","Transicao ocorre no Adulto; preta aos 18 apenas para campeao mundial adulto marrom."
13,master_male,Master Masculino,Branca,Azul,0,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 II (p.7); Art. 3.1.3 I-II (p.9)","Masters seguem regra de tempo da secao Adulto/Masters."
14,master_male,Master Masculino,Azul,Roxa,24,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 III (p.7); Art. 3.1.3 II (p.9)","Excecoes oficiais da Faixa Azul tambem se aplicam."
15,master_male,Master Masculino,Roxa,Marrom,18,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 IV (p.7); Art. 3.1.3 III (p.9)","Excecoes oficiais da Faixa Roxa tambem se aplicam."
16,master_male,Master Masculino,Marrom,Preta,12,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 V (p.7); Art. 3.1.3 IV (p.9)","Excecao oficial: 0 meses para Campeao Mundial adulto marrom."
17,master_female,Master Feminino,Branca,Azul,0,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 II (p.7); Art. 3.1.3 I-II (p.9)","Masters seguem regra de tempo da secao Adulto/Masters."
18,master_female,Master Feminino,Azul,Roxa,24,16,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 III (p.7); Art. 3.1.3 II (p.9)","Excecoes oficiais da Faixa Azul tambem se aplicam."
19,master_female,Master Feminino,Roxa,Marrom,18,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 IV (p.7); Art. 3.1.3 III (p.9)","Excecoes oficiais da Faixa Roxa tambem se aplicam."
20,master_female,Master Feminino,Marrom,Preta,12,18,true,20251220_IBJJF_Graduacao_PT,C:\Users\difarias\.git\Docs reference\20251220_IBJJF_Graduacao_PT.pdf,"Art. 2.1.2 V (p.7); Art. 3.1.3 IV (p.9)","Excecao oficial: 0 meses para Campeao Mundial adulto marrom."
